feature,importance,rank
PTS_L10,0.4195391,1
USAGE_L5,0.14992638,2
FGA_L5,0.09141839,3
PTS_L5,0.008256342,4
EXPECTED_POSSESSIONS_L10,0.0076660495,5
TEAM_ABBREVIATION_DAL,0.007309297,6
TEAM_ABBREVIATION_HOU,0.007199052,7
OPP_TEAM_NAME_Miami Heat,0.007016185,8
OPP_TEAM_NAME_Washington Wizards,0.0066105216,9
TEAM_ABBREVIATION_PHX,0.006480363,10
REST_DAYS,0.006044209,11
OPP_TEAM_NAME_Utah Jazz,0.0057602026,12
OPP_TEAM_NAME_San Antonio Spurs,0.005665759,13
OPP_TEAM_NAME_Indiana Pacers,0.005434474,14
TEAM_ABBREVIATION_WAS,0.005368606,15
TEAM_ABBREVIATION_MIL,0.0053385315,16
TEAM_ABBREVIATION_OKC,0.005327127,17
MIN_L5,0.0051231924,18
TEAM_ABBREVIATION_BOS,0.0050136107,19
PTS_PER_MIN_L5,0.005006024,20
OPP_TEAM_NAME_Detroit Pistons,0.004960155,21
OPP_TEAM_NAME_Houston Rockets,0.0048332787,22
DEF_PTS_ALLOWED_L5,0.004821664,23
OPP_PACE_L10,0.004816092,24
TEAM_ABBREVIATION_POR,0.0047933473,25
OPP_TEAM_NAME_Toronto Raptors,0.00462217,26
OPP_TEAM_NAME_Memphis Grizzlies,0.0044685993,27
EXPECTED_POSSESSIONS_L5,0.004423232,28
TEAM_ABBREVIATION_ORL,0.0044199796,29
TEAM_ABBREVIATION_PHI,0.0044066506,30
TEAM_ABBREVIATION_CLE,0.004333865,31
AST_L5,0.0043289913,32
TEAM_ABBREVIATION_CHA,0.0042497017,33
FG3M_L5,0.00421807,34
OPP_TEAM_NAME_Chicago Bulls,0.0041804034,35
IS_HOME,0.0041469056,36
TEAM_ABBREVIATION_DEN,0.0041135675,37
REB_L5,0.0041024233,38
TEAM_ABBREVIATION_GSW,0.004084713,39
OPP_TEAM_NAME_Philadelphia 76ers,0.0039731828,40
TEAM_ABBREVIATION_CHI,0.00396581,41
OPP_TEAM_NAME_Dallas Mavericks,0.0039264793,42
OPP_TEAM_NAME_Oklahoma City Thunder,0.0038970062,43
TEAM_ABBREVIATION_MIN,0.0038417974,44
PLAYER_TEAM_PACE_L5,0.0038263141,45
PLAYER_TEAM_PACE_L10,0.003795081,46
OPP_TEAM_NAME_Brooklyn Nets,0.0037926082,47
TEAM_ABBREVIATION_BKN,0.0037790423,48
DEF_3PT_ALLOWED_L5,0.0037555136,49
OPP_TEAM_NAME_LA Clippers,0.0037264696,50
OPP_TEAM_NAME_New York Knicks,0.0037256961,51
TEAM_ABBREVIATION_DET,0.0037073276,52
EXPECTED_GAME_PACE_L10,0.0037002126,53
EXPECTED_GAME_PACE_L5,0.0036907734,54
FG3A_L5,0.003661621,55
TEAM_ABBREVIATION_LAC,0.0036477349,56
OPP_TEAM_NAME_Portland Trail Blazers,0.003580955,57
DEF_PTS_VS_POSITION_L5,0.00350048,58
DEF_PTS_VS_POSITION_L10,0.0034934394,59
OPP_TEAM_NAME_Denver Nuggets,0.0034622985,60
TEAM_ABBREVIATION_SAC,0.0034535753,61
OPP_PACE_L5,0.0034508219,62
OPP_TEAM_NAME_Minnesota Timberwolves,0.0034262429,63
TEAM_ABBREVIATION_SAS,0.003389235,64
PTS_STD_L10,0.0033225613,65
OPP_TEAM_NAME_Sacramento Kings,0.003278156,66
DEF_3PT_PCT_L5,0.00325334,67
TEAM_ABBREVIATION_IND,0.003179159,68
OPP_TEAM_NAME_Cleveland Cavaliers,0.003162828,69
TEAM_ABBREVIATION_LAL,0.0031486016,70
TEAM_ABBREVIATION_UTA,0.003101329,71
OPP_TEAM_NAME_Golden State Warriors,0.0030620154,72
TEAM_ABBREVIATION_MEM,0.0030021998,73
OPP_TEAM_NAME_New Orleans Pelicans,0.0029612016,74
TEAM_ABBREVIATION_NYK,0.0029268921,75
OPP_TEAM_NAME_Boston Celtics,0.002895195,76
TEAM_ABBREVIATION_MIA,0.0028276057,77
OPP_TEAM_NAME_Phoenix Suns,0.002787567,78
TEAM_ABBREVIATION_TOR,0.0027523928,79
TEAM_ABBREVIATION_NOP,0.0027294806,80
OPP_TEAM_NAME_Charlotte Hornets,0.002664344,81
OPP_TEAM_NAME_Milwaukee Bucks,0.0024156899,82
OPP_TEAM_NAME_Los Angeles Lakers,0.0023257271,83
OPP_TEAM_NAME_Orlando Magic,0.0022067358,84
